20220514	15:48:48	b19ed91a-666b-4254-88ec-eb4ab840bf1e	GET	undefined	/
20220514	15:48:48	c099c447-0494-4706-bb20-46b4eaa9660e	GET	undefined	/css/style.css
20220514	15:48:48	64f4831b-3e95-4330-8f5d-7b1dad0e5b9d	GET	undefined	/favicon.ico
20220514	19:02:58	fbe52f25-96f0-40d9-b561-c600bc06efee	OPTIONS	http://localhost:3000	/register
20220514	19:02:58	20913a67-fb8f-458e-9370-c76af2f396e1	POST	http://localhost:3000	/register
20220514	19:04:19	00978a98-6307-4cbf-9720-7c1978627721	OPTIONS	http://localhost:3000	/auth
20220514	19:04:19	9b53a334-cec2-4a44-b6c5-38057c3deaf8	POST	http://localhost:3000	/auth
20220514	19:05:21	fec6c1d3-1248-4230-b20a-2a95c5a8563a	GET	http://localhost:3000	/logout
20220514	19:05:46	da42dd3e-8337-42ae-b85f-c6b949570c28	OPTIONS	http://localhost:3000	/register
20220514	19:05:46	dcc5d565-69f2-43cf-a4d5-c269bce7f465	POST	http://localhost:3000	/register
20220514	19:05:48	63e163fb-d6c8-4b9e-867a-66dd622ac979	GET	http://localhost:3000	/refresh
20220514	19:05:48	23df5b96-a701-49ca-8d5d-d1eebefc743b	GET	http://localhost:3000	/refresh
20220514	19:05:57	b653af85-cbab-4704-b6bf-586af7fdda1c	OPTIONS	http://localhost:3000	/auth
20220514	19:05:57	10049940-d373-4e05-b839-46f8af6959b7	POST	http://localhost:3000	/auth
20220514	20:01:35	0e915144-53e4-462e-bdad-7990ffdb12ec	GET	http://localhost:3000	/refresh
20220514	20:01:35	6be8e046-d41d-4502-8e3b-46e1efd9c934	GET	http://localhost:3000	/refresh
20220514	20:02:07	2cd88ace-82da-498e-a35c-e8fd5c2dde02	GET	http://localhost:3000	/logout
20220514	20:02:32	9e4c64b6-e74a-451e-aab6-5973d12d4a3e	GET	http://localhost:3000	/refresh
20220514	20:02:32	a890f352-2076-402f-9591-14b4b9f7e09e	GET	http://localhost:3000	/refresh
20220514	20:02:45	806861de-5edb-40d0-b86c-ad40c10823d4	OPTIONS	http://localhost:3000	/auth
20220514	20:02:45	bafdbb56-468f-40cf-b27e-e92ba06cffdc	POST	http://localhost:3000	/auth
20220514	20:04:15	448a6677-a8f8-4cf4-bf87-7344a5b817d8	GET	http://localhost:3000	/logout
20220514	20:04:31	6741f4fc-0b6f-4073-b998-7f9f7542290c	GET	http://localhost:3000	/refresh
20220514	20:04:31	46a65503-5598-4179-aa02-535a84f4d430	GET	http://localhost:3000	/refresh
20220514	20:04:35	a9baba3a-2750-43ef-a7f6-202514b23946	OPTIONS	http://localhost:3000	/auth
20220514	20:04:35	d67dedee-4133-4144-bd48-264e9ca5f9af	POST	http://localhost:3000	/auth
20220514	20:04:37	73d3c4f8-e9dd-463f-aae4-bc115b70e634	OPTIONS	http://localhost:3000	/users
20220514	20:04:37	cafba361-fe30-44cb-80e9-e9da079963b7	GET	http://localhost:3000	/users
20220514	20:04:55	897d37bd-b73c-4d92-9734-4b3c83dab77f	OPTIONS	http://localhost:3000	/users
20220514	20:04:55	d5549a5f-9172-4445-b836-136d37a8174c	GET	http://localhost:3000	/users
